_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2658,48155,350,Meeting Room,None,None,None,CARMINE STEFANO COMMUNITY CENTRE - Meeting Room (  1)
2659,48156,350,Meeting Room,None,None,None,CARMINE STEFANO COMMUNITY CENTRE - Meeting Room (  2)
2660,48157,350,Multipurpose Room,room,Room - C,C,CARMINE STEFANO COMMUNITY CENTRE - Multipurpose Room (  3)
2661,28065,351,Bowling Green,None,Bowling Green,None,WILLOWDALE LAWN BOWLING CLUB - Building Grounds - Bowling Green (  1)
2662,28066,351,Bowling Green,None,Bowling Green,None,WILLOWDALE LAWN BOWLING CLUB - Building Grounds - Bowling Green (  2)
2663,28067,351,Bowling Green,None,Bowling Green,None,WILLOWDALE LAWN BOWLING CLUB - Building Grounds - Bowling Green (  3)
2664,48521,351,Meeting Room,None,None,None,WILLOWDALE LAWN BOWLING CLUB - Meeting Room
2665,850076,351,Parking Lot,None,Outdoor Parking Lot,None,WILLOWDALE LAWN BOWLING CLUB - Building Grounds - Outdoor Parking Lot (  1)
2666,850077,351,Parking Lot,None,Outdoor Parking Lot,None,WILLOWDALE LAWN BOWLING CLUB - Building Grounds - Outdoor Parking Lot (  2)
2667,4191,352,Waterpark,None,Water Park,None,KIDSTOWN - Water Park
2668,4191,352,Outdoor Pool,pool,Outdoor Pool Tank,None,KIDSTOWN - Water Park
2669,1002288,352,Outdoor Pool,pool,Outdoor Pool Tank,None,KIDSTOWN - Leisure Pool
2670,1002289,352,Outdoor Pool,pool,Outdoor Pool Tank,None,KIDSTOWN - Wading Pool
2671,1002290,352,Picnic Site,picnic,Picnic Site,None,KIDSTOWN Water Park - Picnic Site (  1)
2672,1002291,352,Picnic Site,picnic,Picnic Site,None,KIDSTOWN Water Park - Picnic Site (  2)
2673,1002312,352,Splash Pad,None,Splash/Spray Pad,None,KIDSTOWN Water Park - Splash/Spray Pad (  1)
2674,1002313,352,Splash Pad,None,Splash/Spray Pad,None,KIDSTOWN Water Park - Splash/Spray Pad ( 2)
2675,1002400,352,Waterpark,None,Water Park,None,KIDSTOWN Water Park - Water Slide (  2)
2676,1002401,352,Parking Lot,None,Outdoor Parking Lot,None,KIDSTOWN Water Park - Outdoor Parking Lot ( 1)
2677,1002402,352,Parking Lot,None,Outdoor Parking Lot,None,KIDSTOWN Water Park - Outdoor Parking Lot ( 2)
2678,29925,354,Kitchen,room,Kitchen - B,B,THISTLETOWN MULTI-SERVICE CENTRE - Kitchen
2679,41493,354,Gymnasium,gym,Gymnasium - B,B,THISTLETOWN MULTI-SERVICE CENTRE - Gymnasium
2680,46485,354,Preschool,room,Preschool,None,THISTLETOWN MULTI-SERVICE CENTRE - Preschool
2681,47911,354,Games Room,room,Games Room,None,THISTLETOWN MULTI-SERVICE CENTRE - Games Room (  1)
2682,47912,354,Games Room,room,Games Room,None,THISTLETOWN MULTI-SERVICE CENTRE - Games Room (  2)
2683,48065,354,Craft Room,room,Room-Craft - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Craft Room (  1)
2684,48066,354,Multipurpose Room,room,Room - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Multipurpose Room (  1)
2685,48484,354,Craft Room,room,Room-Craft - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Craft Room (  2)
2686,48485,354,Meeting Room,None,None,None,THISTLETOWN MULTI-SERVICE CENTRE - Meeting Room
2687,48486,354,Fitness/Dance Studio,None,Room - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Fitness/Dance Studio
2688,48487,354,Multipurpose Room,room,Room - B,B,THISTLETOWN MULTI-SERVICE CENTRE - Multipurpose Room - Thistle
2689,48488,354,Multipurpose Room,room,Room - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Multipurpose Room - Barker
2690,48489,354,Multipurpose Room,room,Room - B,B,THISTLETOWN MULTI-SERVICE CENTRE - Multipurpose Room- Ten Hodgson
